Comando enviado,Leitura do sensor do lado esquerdo do robô após execução do comando,Leitura do sensor da frente do robô após execução do comando,Leitura do sensor do lado direito do robô após execução do comando,Situação do compartimento de carga
LIGAR,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,PAREDE,SEM HUMANO
G,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,HUMANO,PAREDE,SEM HUMANO
A,PAREDE,PAREDE,VAZIO,SEM HUMANO
P,PAREDE,PAREDE,VAZIO,COM HUMANO
G,PAREDE,VAZIO,VAZIO,COM HUMANO
G,VAZIO,VAZIO,PAREDE,COM HUMANO
A,PAREDE,VAZIO,PAREDE,COM HUMANO
G,VAZIO,PAREDE,HUMANO,COM HUMANO
G,PAREDE,HUMANO,PAREDE,COM HUMANO
G,HUMANO,PAREDE,VAZIO,COM HUMANO
A,VAZIO,PAREDE,VAZIO,COM HUMANO
A,VAZIO,PAREDE,VAZIO,COM HUMANO
G,PAREDE,VAZIO,PAREDE,COM HUMANO
A,VAZIO,PAREDE,VAZIO,COM HUMANO
A,PAREDE,VAZIO,PAREDE,COM HUMANO
A,VAZIO,PAREDE,VAZIO,COM HUMANO
A,PAREDE,VAZIO,PAREDE,COM HUMANO
A,VAZIO,VAZIO,VAZIO,COM HUMANO
A,PAREDE,PAREDE,PAREDE,COM HUMANO
E,PAREDE,PAREDE,PAREDE,SEM HUMANO
